lat,lon,name,amenity,category,neighbourhood
49.2820949,-123.1165023,Kung Fu Noodle,fast_food,food/drink,Downtown
49.2827302,-123.115289,Enjoy Canada,school,education/childcare,Downtown
49.2826167,-123.1151176,Pokérrito,fast_food,food/drink,Downtown
49.282708,-123.1147514,Dae Ji,fast_food,food/drink,Downtown
49.2826109,-123.1146226,Sushi Home,fast_food,food/drink,Downtown
49.2825668,-123.1145555,Big Bowl Rice,fast_food,food/drink,Downtown
49.2841314,-123.1083829,Pourhouse,pub,food/drink,Downtown
49.280558,-123.1345339,,car_sharing,cars,West End
49.2756868,-123.1281101,Cecil Bar,bar,food/drink,Downtown
49.2915693,-123.1275164,Cardero's,restaurant,food/drink,Downtown
49.2839339,-123.1223497,Shabusen,restaurant,food/drink,West End
49.274232,-123.1239335,House Special,restaurant,food/drink,Downtown
49.2747239,-123.1227038,La Pentala,restaurant,food/drink,Downtown
49.2745568,-123.1232818,Kuma,restaurant,food/drink,Downtown
49.2744227,-123.1235737,Saigon Xua,restaurant,food/drink,Downtown
49.274321,-123.1237748,Tasty Indian Bistro,restaurant,food/drink,Downtown
49.2741305,-123.1241126,Soho,bar,food/drink,Downtown
49.2753903,-123.1216407,Yaletown Distilling Company,bar,food/drink,Downtown
49.275171,-123.1225726,Hapa Izakaya,restaurant,food/drink,Downtown
49.2750527,-123.1221518,Living Produce Aisle,fast_food,food/drink,Downtown
49.2751034,-123.1220829,The Flying Pig,restaurant,food/drink,Downtown
49.2747508,-123.1193599,,car_sharing,cars,Downtown
49.2752946,-123.1211862,Robba Da Matti,restaurant,food/drink,Downtown
49.2752508,-123.1212681,The Distillery Bar,bar,food/drink,Downtown
49.2751593,-123.1213923,Paulies Kitchen,restaurant,food/drink,Downtown
49.2750611,-123.1210797,Zend Conscious Lounge,restaurant,food/drink,Downtown
49.2751119,-123.1214624,Mister,fast_food,food/drink,Downtown
49.274839,-123.1218884,Sushi Maro,restaurant,food/drink,Downtown
49.2829831,-123.1098733,New Amsterdam Cafe,cafe,food/drink,Downtown
49.2613286,-123.1007513,Josephines Restaurant and Catering,restaurant,food/drink,Mount Pleasant
49.2616715,-123.1007497,The Cascade,bar,food/drink,Mount Pleasant
49.261745,-123.1007497,Charlie's Little Italian,restaurant,food/drink,Mount Pleasant
49.2624382,-123.1007191,Bean Around The World,cafe,food/drink,Mount Pleasant
49.262522,-123.1007068,Cafe Barney,restaurant,food/drink,Mount Pleasant
49.2631687,-123.1007163,Frenchies Diner,restaurant,food/drink,Mount Pleasant
49.263303,-123.1007167,Pizza 604,fast_food,food/drink,Mount Pleasant
49.2631099,-123.1018738,Chutney Villa,restaurant,food/drink,Mount Pleasant
49.2624451,-123.1012839,Kafka's Coffee and Tea,cafe,food/drink,Mount Pleasant
49.2635678,-123.1006513,The Wallflower,restaurant,food/drink,Mount Pleasant
